Mission,State,From,To,Run By,Lat,Lon,Wikipedia,Find & Connect
La Perouse,NSW,1885,1984,ANG – Anglican,33°59′01″S,151°14′01″E,https://en.wikipedia.org/wiki/La_Perouse_Mission_Church,https://www.findandconnect.gov.au/entity/la-perouse-training-school-for-girls/
Lake Macquarie (Ebenezer),NSW,1824,1841,LMS – London Missionary Society,33°0′58.3″S,151°34′57.3″E,"https://en.wikipedia.org/wiki/Toronto,_New_South_Wales",
Lawrence,NSW,1916,1940,,-29.4926,153.0927,,
Leech's Gully (Tenterfield),NSW,1967,1974,,-29.0149,152.0356,,
Little Shark Island,NSW,1893,1919,,-30.8789,152.9938,,
Long Gully (Ngoorumba),NSW,1893,1977,,-29.9867,151.1995,,
Lynwood Hall,NSW,1939,1993,,-33.8546119,150.9728621,,https://www.findandconnect.gov.au/entity/lynwood-hall-2/
Maloga Mission School,NSW,1874,1894,,-36.0807424,144.9636457,https://en.wikipedia.org/wiki/Maloga_Mission,
Mehi Mission (Moree),NSW,1950,1967,,-29.4692,149.8195,,
Menindee,NSW,1933,1949,,-32.3343,142.5035,,
Merriman Island,NSW,1909,1931,,-36.3671,150.0633,,
Merriman's Reserve (Tarourga Lake),NSW,1877,1969,,-36.1125,150.1275,,
Mitchell (Mann) River,NSW,1887,1915,,-29.6201,152.5431,,
Mongarlowe,NSW,1897,1916,,-35.3209,149.9501,,
Moonahcullah,NSW,1920,1962,,-35.3892,144.6485,,
Moree,NSW,1893,1902,,-29.4673,149.8319,,
Moruya,NSW,1875,1886,,-35.9167,150.1169,,
Muli Muli (Woodenbong),NSW,1929,1967,,-28.4192,152.5841,,
Mullumbimby,NSW,1891,1915,,-28.5348,153.5273,,
Murrin Bridge,NSW,1949,1967,,-33.2142,146.3721,,
Narrabri,NSW,1888,1920,,-30.2989,149.7094,,
Neddy's Reserve (Tuross Lake),NSW,1878,1918,,-36.0697,150.0961,,
Nelson Bay,NSW,1892,1916,,-32.7198,152.1195,,
Noocoorilma (Sevington),NSW,1893,1957,,-29.476,151.3871,,
Nymboida,NSW,1911,1916,,-29.9695,152.7201,,
Nymboida,NSW,1915,1921,,-29.973,152.7249,,
Oban River,NSW,1909,1927,,-30.1252,151.9185,,
Old Toomelah,NSW,1925,1939,,-28.7292,149.782,,
Parramatta,NSW,1820,1828,CE – Church of England,33°49′S,151°00′E,,https://www.findandconnect.gov.au/entity/native-institution/
Pilliga,NSW,1902,1959,,-30.3881,148.9316,,
Pooncarie,NSW,1909,1933,,-33.3588,142.5199,,
Purfleet,NSW,1900,1967,,-31.9409,152.4686,,
Richard Bolloway Reserve (Tuross Lake),NSW,1877,1914,,-36.0819,150.1267,,
Rollands Plains,NSW,1886,1960,,-31.2791,152.6836,,
Roseby Park,NSW,1900,1967,,-34.913,150.7514,,
Runnymede (Stoney Gully),NSW,1896,1964,,-28.6983,152.988,,
Sackville Reach (Hawkesbury River),NSW,1889,1946,,-33.4689,150.8764,,
Shark Island,NSW,1889,1920,,-30.8677,153.0053,,
Snake Island,NSW,1906,1954,,-36.3593,150.0319,,
Southgate (Brushgrove),NSW,1899,1921,,-29.5514,153.0768,,
St Claire Mission (Singleton),NSW,1893,1923,,-32.3872397,151.2204619,,
St Joseph's Farm (Burragorang Valley),NSW,1892,1924,,-33.938,150.4339,,
Stuart Island,NSW,1883,1955,,-30.6567,152.9911,,
Sutherland Waters (Tingha),NSW,1954,1975,,-29.9744,151.19,,
Sydney Aboriginal Mission,NSW,,,,,,,
Tabulam,NSW,1949,1967,,-28.8957,152.5305,,
Tathra,NSW,1883,1950,,-36.7262,149.9458,,
Terania Creek (Blakebrook),NSW,1887,1925,,-28.7481,153.2568,,
Terry Hie Hie,NSW,1895,1961,,-29.8028,150.148,,
The Beemunnel,NSW,1954,1970,,-31.6849,147.8516,,
The Gully (Katoomba),NSW,1920,1956,,-33.716,150.3044,,
The Mole Reserve,NSW,1897,1922,,-30.8875,147.5756,,
The Murie,NSW,1900,1970,,-33.1089,147.1469,,
The Reserve (Balranald),NSW,1892,1950,,-34.6494,143.5876,,
The Sandhills (Narrandera),NSW,1916,1965,,-34.7536,146.5413,,
The Springs (Orange),NSW,1930,1943,,-33.3155,149.0847,,
Tomago River Reserve (Tomakin),NSW,1884,1927,,-35.8252,150.1813,,
Toomelah (Boggabilla),NSW,1940,1967,,-28.6707,150.4784,,
Turlinjah,NSW,1880,1917,,-36.0341,150.0964,,
Turtle Point Mission,NSW,1925,1950,,-28.9035,152.5677,,
Ukerebagh Island,NSW,1927,1951,,-28.1897,153.5495,,
