Mapping,StateName,Longitude,Latitude
Legislation,New Holland,116,-22.5
Legislation,New South Wales,141.5,-29.5
Colonisation,New Holland,121,-25
Colonisation,New South Wales,143,-31.8
Colonisation,New South Wales,167,-43
