Name,Features,Alternative Name,Wikipedia,Commenced,Opened,Closed,Line Length (km)
PETERBOROUGH - EURELIA (STEAMTOWN RAIL SOCIETY),1,,https://en.wikipedia.org/wiki/Peterborough%E2%80%93Quorn_railway_line,1881,1882,1988,
NORTH EASTERN RAILWAY,360,North East railway line,https://en.wikipedia.org/wiki/North_East_railway_line,1860,1883,,308
NORTH EASTERN,125,,https://en.wikipedia.org/wiki/North_East_railway_line,1860,1883,,308
BELAIR LINE,23,,https://en.wikipedia.org/wiki/Belair_line,,1883,,22
BELAIR - ADELAIDE,1,,https://en.wikipedia.org/wiki/Belair_line,,1883,,22
TENNYSON BRANCH,67,Yerongpilly to Corinda,https://en.wikipedia.org/wiki/Corinda%E2%80%93Yeerongpilly_railway_line,,1884,,4
MOUNT PERRY BRANCH RAILWAY,18,Bundaberg to Mount Perry,https://en.wikipedia.org/wiki/Mount_Perry_railway_line,1881,1884,1993,
STEAMRANGER DEPOT,10,,https://en.wikipedia.org/wiki/Victor_Harbor_railway_line,1854,1884,,
STRATHALBYN YARD,10,,https://en.wikipedia.org/wiki/Strathalbyn_railway_station,1854,1884,,
RAVENSWOOD BRANCH,3,,https://en.wikipedia.org/wiki/Great_Northern_Railway_(Mt_Isa_line)#Branch_lines,,1884,1930,39
MAIN WESTERN RAILWAY,420,Great Western Railway,"https://en.wikipedia.org/wiki/Main_Western_railway_line,_New_South_Wales",1854,1885,,825
GOLD COAST/BEENLEIGH LINE,142,Roma Street to Beenleigh,https://en.wikipedia.org/wiki/Beenleigh_railway_line,,1885,1964,40
FINGAL LINE,145,,,,1886,,
CROWS NEST BRANCH RAILWAY,15,,https://en.wikipedia.org/wiki/Crows_Nest_railway_line,1883,1886,1961,
SOUTH WESTERN SYSTEM,179,Warwick to Wallangarra,"https://en.wikipedia.org/wiki/Southern_railway_line,_Queensland",1871,1887,,197
BLAYNEY DEMONDRILLE RAILWAY,76,,https://en.wikipedia.org/wiki/Blayney%E2%80%93Demondrille_railway_line,1885,1887,,101
ADELAIDE - MELBOURNE,68,,https://en.wikipedia.org/wiki/Melbourne%E2%80%93Adelaide_rail_corridor,,1887,,828
SANDRINGHAM LINE,55,,https://en.wikipedia.org/wiki/Sandringham_line,1859,1887,,18
TOOLAMBA-ECHUCA LINE,23,,https://en.wikipedia.org/wiki/Toolamba%E2%80%93Echuca_railway_line,1880,1887,,
CRESWICK & DAYLESFORD RAILWAY,8,,https://en.wikipedia.org/wiki/Ballarat_to_Daylesford_railway_line,,1887,1986,
HORSHAM-NATIMUK,7,,https://en.wikipedia.org/wiki/Ararat_railway_line#Ararat_region,,1887,1979,
WOLSELY - MOUNT GAMBIER,6,,https://en.wikipedia.org/wiki/Mount_Gambier_railway_line,1881,1887,1995,
SPRINGSURE BRANCH,5,,https://en.wikipedia.org/wiki/Central_Western_railway_line,,1887,,
