StateName,Longitude,Latitude
Western Australia,117,-25
New South Wales,143,-32
Northern Territory,130,-21
Tasmania,145,-42
South Australia,131,-30
Victoria,142,-37
Queensland,140,-24
Australian Capital Territory,148.8,-35.7
Jervis Bay (ACT),150.56,-35
