Richmond,"Richmond, Tasmania",Richmond,Tasmania,"https://en.wikipedia.org/wiki/Richmond,_Tasmania",42°44′S,147°26′E,-42.733333333333334,147.43333333333334,1823,1823.0,880
Wellington,"Wellington, New South Wales",Wellington,New South Wales,"https://en.wikipedia.org/wiki/Wellington,_New_South_Wales",32°33′0″S,148°56′0″E,-32.55,148.93333333333334,1823,1823.0,5011
Redcliffe,"Redcliffe, Queensland",Redcliffe,Queensland,"https://en.wikipedia.org/wiki/Redcliffe,_Queensland",27°13′40″S,153°04′30″E,-27.227777777777778,153.075,1824,1824.0,10460
Brisbane,"Brisbane, Queensland",Brisbane,Queensland,"https://en.wikipedia.org/wiki/Brisbane,_Queensland",27°28′04″S,153°01′41″E,-27.467777777777776,153.02805555555557,1825,1825.0,2780063
King George's Sound,King George's Sound,King George's Sound,Western Australia,https://en.wikipedia.org/wiki/King_George%27s_Sound,35°02′S,117°56′E,-35.03333333333333,117.93333333333334,1826,1826.0,0
Albany,"Albany, Western Australia",Albany,Western Australia,"https://en.wikipedia.org/wiki/Albany,_Western_Australia",35°01′22″S,117°52′53″E,-35.022777777777776,117.88138888888888,1826,1826.0,35053
Young,"Young, New South Wales",Young,New South Wales,"https://en.wikipedia.org/wiki/Young,_New_South_Wales",34°18′0″S,148°18′0″E,-34.3,148.3,1826,1826.0,7712
Burnie,"Burnie, Tasmania",Burnie,Tasmania,"https://en.wikipedia.org/wiki/Burnie,_Tasmania",41°03′49″S,145°52′31″E,-41.06361111111111,145.8752777777778,1827,1827.0,19918
Home Island,Home Island,Home Island,Cocos-Keeling Islands,https://en.wikipedia.org/wiki/Home_Island,12°07′04″S,96°53′51″E,-12.117777777777778,96.89750000000001,1827,1827.0,0
Tarago,"Tarago, New South Wales",Tarago,New South Wales,"https://en.wikipedia.org/wiki/Tarago,_New_South_Wales",35°05′0″S,149°39′0″E,-35.083333333333336,149.65,1827,1827.0,510
Fremantle,Fremantle,Fremantle,Western Australia,https://en.wikipedia.org/wiki/Fremantle,32°03′15″S,115°44′51″E,-32.05416666666667,115.7475,1829,1829.0,0
Perth,"Perth, Western Australia",Perth,Western Australia,"https://en.wikipedia.org/wiki/Perth,_Western_Australia",31°57′21″S,115°51′35″E,-31.95583333333333,115.85972222222222,1829,1829.0,2309338
Guildford,"Guildford, Western Australia",Guildford,Western Australia,"https://en.wikipedia.org/wiki/Guildford,_Western_Australia",31°54′00″S,115°58′23″E,-31.9,115.97305555555556,1829,1829.0,2040
Augusta,"Augusta, Western Australia",Augusta,Western Australia,"https://en.wikipedia.org/wiki/Augusta,_Western_Australia",34°18′43″S,115°09′32″E,-34.31194444444444,115.1588888888889,1830,1830.0,1211
Berrima,"Berrima, New South Wales",Berrima,New South Wales,"https://en.wikipedia.org/wiki/Berrima,_New_South_Wales",34°29′S,150°21′E,-34.483333333333334,150.35,1830,1830.0,255
Port Arthur,"Port Arthur, Tasmania",Port Arthur,Tasmania,"https://en.wikipedia.org/wiki/Port_Arthur,_Tasmania",43°09′0″S,147°51′0″E,-43.15,147.85,1830,1830.0,251
Mandurah,Mandurah,Mandurah,Western Australia,https://en.wikipedia.org/wiki/Mandurah,32°31′44″S,115°43′23″E,-32.528888888888886,115.72305555555556,1831,1831.0,90306
Taree,"Taree, New South Wales",Taree,New South Wales,"https://en.wikipedia.org/wiki/Taree,_New_South_Wales",31°54′0″S,152°27′0″E,-31.9,152.45,1831,1831.0,26381
Busselton,Busselton,Busselton,Western Australia,https://en.wikipedia.org/wiki/Busselton,33°38′52″S,115°20′45″E,-33.647777777777776,115.34583333333333,1832,1832.0,27233
Northam,"Northam, Western Australia",Northam,Western Australia,"https://en.wikipedia.org/wiki/Northam,_Western_Australia",31°39′11″S,116°39′58″E,-31.653055555555554,116.66611111111112,1833,1833.0,6679
Goulburn,"Goulburn, New South Wales",Goulburn,New South Wales,"https://en.wikipedia.org/wiki/Goulburn,_New_South_Wales",34°45′21″S,149°43′14″E,-34.755833333333335,149.72055555555556,1833,1833.0,24565
Muswellbrook,"Muswellbrook, New South Wales",Muswellbrook,New South Wales,"https://en.wikipedia.org/wiki/Muswellbrook,_New_South_Wales",32°15′56″S,150°53′19″E,-32.26555555555556,150.88861111111112,1833,1833.0,16000
Portland,"Portland, Victoria",Portland,Victoria,"https://en.wikipedia.org/wiki/Portland,_Victoria",38°20′0″S,141°36′0″E,-38.333333333333336,141.6,1834,1834.0,10016
Wollongong,Wollongong,Wollongong,New South Wales,https://en.wikipedia.org/wiki/Wollongong,34°25′38″S,150°53′38″E,-34.42722222222222,150.89388888888888,1834,1834.0,280153
Pinjarra,"Pinjarra, Western Australia",Pinjarra,Western Australia,"https://en.wikipedia.org/wiki/Pinjarra,_Western_Australia",32°37′48″S,115°52′16″E,-32.63,115.8711111111111,1830,1834.0,3883
York,"York, Western Australia",York,Western Australia,"https://en.wikipedia.org/wiki/York,_Western_Australia",31°53′18″S,116°46′07″E,-31.888333333333332,116.76861111111111,1835,1835.0,2399
Melbourne,"Melbourne, Victoria",Melbourne,Victoria,"https://en.wikipedia.org/wiki/Melbourne,_Victoria",37°48′51″S,144°57′47″E,-37.814166666666665,144.96305555555554,1835,1835.0,5207145
Adelaide,Adelaide,Adelaide,South Australia,https://en.wikipedia.org/wiki/Adelaide,34°55′39″S,138°36′00″E,-34.927499999999995,138.6,1836,1836.0,1469163
Bunbury,"Bunbury, Western Australia",Bunbury,Western Australia,"https://en.wikipedia.org/wiki/Bunbury,_Western_Australia",33°19′38″S,115°38′13″E,-33.327222222222225,115.63694444444445,1836,1836.0,76452
Gawler,"Gawler, South Australia",Gawler,South Australia,"https://en.wikipedia.org/wiki/Gawler,_South_Australia",34°35′53″S,138°44′42″E,-34.59805555555556,138.74499999999998,1839,1836.0,28562
Holbrook,"Holbrook, New South Wales",Holbrook,New South Wales,"https://en.wikipedia.org/wiki/Holbrook,_New_South_Wales",35°43′06″S,147°19′04″E,-35.718333333333334,147.31777777777776,1836,1836.0,1715
Kempsey,"Kempsey, New South Wales",Kempsey,New South Wales,"https://en.wikipedia.org/wiki/Kempsey,_New_South_Wales",31°5′S,152°50′E,-31.083333333333332,152.83333333333334,1836,1836.0,11073
Kingscote,"Kingscote, South Australia",Kingscote,South Australia,"https://en.wikipedia.org/wiki/Kingscote,_South_Australia",35°39′11″S,137°38′03″E,-35.653055555555554,137.63416666666666,1836,1836.0,1915
Littlehampton,"Littlehampton, South Australia",Littlehampton,South Australia,"https://en.wikipedia.org/wiki/Littlehampton,_South_Australia",35°03′0″S,138°51′0″E,-35.05,138.85,1836,1836.0,3300
Sunbury,"Sunbury, Victoria",Sunbury,Victoria,"https://en.wikipedia.org/wiki/Sunbury,_Victoria",37°34′52″S,144°42′50″E,-37.58111111111111,144.71388888888887,1836,1836.0,38851
Wauchope,"Wauchope, New South Wales",Wauchope,New South Wales,"https://en.wikipedia.org/wiki/Wauchope,_New_South_Wales",31°27′0″S,152°44′0″E,-31.45,152.73333333333332,1836,1836.0,7982
Bungendore,"Bungendore, New South Wales",Bungendore,New South Wales,"https://en.wikipedia.org/wiki/Bungendore,_New_South_Wales",35°15′0″S,149°27′0″E,-35.25,149.45,1837,1837.0,4745
Colo Vale,"Colo Vale, New South Wales",Colo Vale,New South Wales,"https://en.wikipedia.org/wiki/Colo_Vale,_New_South_Wales",34°24′S,150°29′E,-34.4,150.48333333333332,1837,1837.0,1528
Dandenong,"Dandenong, Victoria",Dandenong,Victoria,"https://en.wikipedia.org/wiki/Dandenong,_Victoria",37°58′52″S,145°12′54″E,-37.98111111111111,145.21499999999997,1837,1837.0,30127
Southport,"Southport, Tasmania",Southport,Tasmania,"https://en.wikipedia.org/wiki/Southport,_Tasmania",43°25′50″S,146°58′30″E,-43.43055555555555,146.975,1837,1837.0,149
Yass,"Yass, New South Wales",Yass,New South Wales,"https://en.wikipedia.org/wiki/Yass,_New_South_Wales",34°49′0″S,148°54′0″E,-34.81666666666667,148.9,1837,1837.0,6763
Buninyong,"Buninyong, Victoria",Buninyong,Victoria,"https://en.wikipedia.org/wiki/Buninyong,_Victoria",37°39′01″S,143°53′02″E,-37.650277777777774,143.8838888888889,1838,1838.0,3797
Geelong,Geelong,Geelong,Victoria,https://en.wikipedia.org/wiki/Geelong,38°09′0″S,144°21′0″E,-38.15,144.35,1838,1838.0,282809
Gundagai,Gundagai,Gundagai,New South Wales,https://en.wikipedia.org/wiki/Gundagai,35°03′57″S,148°06′28″E,-35.06583333333333,148.10777777777778,1838,1838.0,2057
Queanbeyan,Queanbeyan,Queanbeyan,New South Wales,https://en.wikipedia.org/wiki/Queanbeyan,35°21′12″S,149°14′03″E,-35.35333333333333,149.23416666666665,1838,1838.0,37511
Albury,"Albury, New South Wales",Albury,New South Wales,"https://en.wikipedia.org/wiki/Albury,_New_South_Wales",36°04′50″S,146°54′57″E,-36.080555555555556,146.91583333333335,1839,1839.0,53677
Braidwood,"Braidwood, New South Wales",Braidwood,New South Wales,"https://en.wikipedia.org/wiki/Braidwood,_New_South_Wales",35°26′0″S,149°48′0″E,-35.43333333333333,149.8,1839,1839.0,1720
Echunga,Echunga,Echunga,South Australia,https://en.wikipedia.org/wiki/Echunga,35°06′0″S,138°47′0″E,-35.1,138.78333333333333,1839,1839.0,630
Gumeracha,"Gumeracha, South Australia",Gumeracha,South Australia,"https://en.wikipedia.org/wiki/Gumeracha,_South_Australia",34°49′37″S,138°53′00″E,-34.82694444444445,138.88333333333333,1839,1839.0,721
Hahndorf,"Hahndorf, South Australia",Hahndorf,South Australia,"https://en.wikipedia.org/wiki/Hahndorf,_South_Australia",35°01′49″S,138°48′28″E,-35.030277777777776,138.8077777777778,1839,1839.0,2313
Mount Barker,"Mount Barker, South Australia",Mount Barker,South Australia,"https://en.wikipedia.org/wiki/Mount_Barker,_South_Australia",35°04′S,138°51′E,-35.06666666666667,138.85,1839,1839.0,21554
Port Lincoln,Port Lincoln,Port Lincoln,South Australia,https://en.wikipedia.org/wiki/Port_Lincoln,34°43′56″S,135°51′31″E,-34.73222222222223,135.85861111111112,1839,1839.0,14404
Seymour,"Seymour, Victoria",Seymour,Victoria,"https://en.wikipedia.org/wiki/Seymour,_Victoria",37°1′48″S,145°7′48″E,-37.03,145.13,1839,1839.0,6569
Thebarton,"Thebarton, South Australia",Thebarton,South Australia,"https://en.wikipedia.org/wiki/Thebarton,_South_Australia",34°54′S,138°34′E,-34.9,138.56666666666666,1839,1839.0,1442
Benalla,Benalla,Benalla,Victoria,https://en.wikipedia.org/wiki/Benalla,36°33′07″S,145°58′54″E,-36.551944444444445,145.98166666666665,1840,1840.0,9316
Dalby,"Dalby, Queensland",Dalby,Queensland,"https://en.wikipedia.org/wiki/Dalby,_Queensland",27°10′53″S,151°15′58″E,-27.18138888888889,151.26611111111112,1840,1840.0,12758
Traralgon,Traralgon,Traralgon,Victoria,https://en.wikipedia.org/wiki/Traralgon,38°11′45″S,146°32′25″E,-38.19583333333333,146.5402777777778,1840,1840.0,26907
Toowoomba,Toowoomba,Toowoomba,Queensland,https://en.wikipedia.org/wiki/Toowoomba,27°34′S,151°57′E,-27.566666666666666,151.95,1849,1840.0,142163
Ulladulla,"Ulladulla, New South Wales",Ulladulla,New South Wales,"https://en.wikipedia.org/wiki/Ulladulla,_New_South_Wales",35°20′55″S,150°28′4″E,-35.34861111111111,150.46777777777777,1840,1840.0,17026
Wee Waa,Wee Waa,Wee Waa,New South Wales,https://en.wikipedia.org/wiki/Wee_Waa,30°12′S,149°26′E,-30.2,149.43333333333334,1840,1840.0,2034
Macclesfield,"Macclesfield, South Australia",Macclesfield,South Australia,"https://en.wikipedia.org/wiki/Macclesfield,_South_Australia",35°10′0″S,138°50′0″E,-35.166666666666664,138.83333333333334,1840,1840.0,977
Melrose,"Melrose, South Australia",Melrose,South Australia,"https://en.wikipedia.org/wiki/Melrose,_South_Australia",32°49′S,138°11′E,-32.81666666666667,138.18333333333334,1840,1840.0,342
Oakbank,"Oakbank, South Australia",Oakbank,South Australia,"https://en.wikipedia.org/wiki/Oakbank,_South_Australia",34°59′0″S,138°51′0″E,-34.983333333333334,138.85,1840,1840.0,865
Ballina,"Ballina, New South Wales",Ballina,New South Wales,"https://en.wikipedia.org/wiki/Ballina,_New_South_Wales",28°51′49″S,153°31′58″E,-28.863611111111112,153.5327777777778,1840,1842.0,46190
Caboolture,Caboolture,Caboolture,Queensland,https://en.wikipedia.org/wiki/Caboolture,27°05′06″S,152°57′05″E,-27.084999999999997,152.95138888888889,1842,1842.0,29534
Horsham,"Horsham, Victoria",Horsham,Victoria,"https://en.wikipedia.org/wiki/Horsham,_Victoria",36°43′S,142°12′E,-36.71666666666667,142.2,1842,1842.0,16985
Kapunda,"Kapunda, South Australia",Kapunda,South Australia,"https://en.wikipedia.org/wiki/Kapunda,_South_Australia",34°20′20″S,138°55′00″E,-34.33888888888889,138.91666666666666,1839,1842.0,2917
Lobethal,Lobethal,Lobethal,South Australia,https://en.wikipedia.org/wiki/Lobethal,34°54′0″S,138°52′0″E,-34.9,138.86666666666667,1842,1842.0,2174
Boydtown,"Boydtown, New South Wales",Boydtown,New South Wales,"https://en.wikipedia.org/wiki/Boydtown,_New_South_Wales",37°06′18″S,149°52′44″E,-37.105000000000004,149.8788888888889,1843,1843.0,75
Eden,"Eden, New South Wales",Eden,New South Wales,"https://en.wikipedia.org/wiki/Eden,_New_South_Wales",37°04′0″S,149°54′0″E,-37.06666666666667,149.9,1843,1843.0,3151
Wangaratta,Wangaratta,Wangaratta,Victoria,https://en.wikipedia.org/wiki/Wangaratta,36°21′30″S,146°18′45″E,-36.358333333333334,146.3125,1843,1843.0,29808
Bacchus Marsh,Bacchus Marsh,Bacchus Marsh,Victoria,https://en.wikipedia.org/wiki/Bacchus_Marsh,37°40′30″S,144°26′20″E,-37.675,144.4388888888889,1844,1844.0,24717
Tweed Heads,"Tweed Heads, New South Wales",Tweed Heads,New South Wales,"https://en.wikipedia.org/wiki/Tweed_Heads,_New_South_Wales",28°11′0″S,153°33′0″E,-28.183333333333334,153.55,1844,1844.0,63721
Wingham,"Wingham, New South Wales",Wingham,New South Wales,"https://en.wikipedia.org/wiki/Wingham,_New_South_Wales",31°52′S,152°22′E,-31.866666666666667,152.36666666666667,1844,1844.0,5395
Jimboomba,Jimboomba,Jimboomba,Queensland,https://en.wikipedia.org/wiki/Jimboomba,27°49′48″S,153°01′53″E,-27.83,153.0313888888889,1845,1845.0,7423
Port Pirie,Port Pirie,Port Pirie,South Australia,https://en.wikipedia.org/wiki/Port_Pirie,33°11′9″S,138°1′1″E,-33.18583333333333,138.01694444444445,1845,1845.0,13896
Cowra,Cowra,Cowra,New South Wales,https://en.wikipedia.org/wiki/Cowra,33°50′02″S,148°42′00″E,-33.83388888888889,148.7,1846,1846.0,8254
Grafton,"Grafton, New South Wales",Grafton,New South Wales,"https://en.wikipedia.org/wiki/Grafton,_New_South_Wales",29°41′0″S,152°56′0″E,-29.683333333333334,152.93333333333334,1851,1846.0,19255
Ipswich,"Ipswich, Queensland",Ipswich,Queensland,"https://en.wikipedia.org/wiki/Ipswich,_Queensland",27°36′52″S,152°45′39″E,-27.614444444444445,152.76083333333332,1827,1846.0,115913
Orange,"Orange, New South Wales",Orange,New South Wales,"https://en.wikipedia.org/wiki/Orange,_New_South_Wales",33°17′0″S,149°06′0″E,-33.28333333333333,149.1,1846,1846.0,41920
Swan Hill,"Swan Hill, Victoria",Swan Hill,Victoria,"https://en.wikipedia.org/wiki/Swan_Hill,_Victoria",35°20′0″S,143°33′0″E,-35.333333333333336,143.55,1846,1846.0,11508
Temora,"Temora, New South Wales",Temora,New South Wales,"https://en.wikipedia.org/wiki/Temora,_New_South_Wales",34°26′0″S,147°32′0″E,-34.43333333333333,147.53333333333333,1847,1847.0,4016
Maryborough,"Maryborough, Queensland",Maryborough,Queensland,"https://en.wikipedia.org/wiki/Maryborough,_Queensland",25°32′15″S,152°42′07″E,-25.5375,152.70194444444442,1847,1847.0,27489
Rockingham,"Rockingham, Western Australia",Rockingham,Western Australia,"https://en.wikipedia.org/wiki/Rockingham,_Western_Australia",32°16′52″S,115°43′37″E,-32.28111111111111,115.72694444444444,1847,1847.0,15312
Wagga Wagga,Wagga Wagga,Wagga Wagga,New South Wales,https://en.wikipedia.org/wiki/Wagga_Wagga,35°7′8″S,147°22′8″E,-35.11888888888889,147.3688888888889,1829,1847.0,57003
Birdwood,"Birdwood, South Australia",Birdwood,South Australia,"https://en.wikipedia.org/wiki/Birdwood,_South_Australia",34°49′15″S,138°57′47″E,-34.82083333333334,138.96305555555554,1848,1848.0,932
Nanango,"Nanango, Queensland",Nanango,Queensland,"https://en.wikipedia.org/wiki/Nanango,_Queensland",26°40′15″S,152°00′01″E,-26.670833333333334,152.00027777777777,1848,1848.0,3679
Armidale,"Armidale, New South Wales",Armidale,New South Wales,"https://en.wikipedia.org/wiki/Armidale,_New_South_Wales",30°30′S,151°39′E,-30.5,151.65,1849,1849.0,21312
Cooma,Cooma,Cooma,New South Wales,https://en.wikipedia.org/wiki/Cooma,36°14′06″S,149°07′33″E,-36.235,149.12583333333333,1849,1849.0,6715
Dubbo,Dubbo,Dubbo,New South Wales,https://en.wikipedia.org/wiki/Dubbo,32°15′25″S,148°36′4″E,-32.25694444444444,148.6011111111111,1849,1849.0,43516
Gayndah,Gayndah,Gayndah,Queensland,https://en.wikipedia.org/wiki/Gayndah,25°37′28″S,151°36′29″E,-25.624444444444446,151.60805555555555,1849,1849.0,1949
Surat,"Surat, Queensland",Surat,Queensland,"https://en.wikipedia.org/wiki/Surat,_Queensland",27°09′16″S,149°04′04″E,-27.154444444444444,149.06777777777776,1849,1849.0,402
Boggabri,Boggabri,Boggabri,New South Wales,https://en.wikipedia.org/wiki/Boggabri,30°42′S,150°02′E,-30.7,150.03333333333333,1850,1850.0,885
Casino,"Casino, New South Wales",Casino,New South Wales,"https://en.wikipedia.org/wiki/Casino,_New_South_Wales",28°52′0″S,153°03′0″E,-28.866666666666667,153.05,1850,1850.0,12298
Woodside,"Woodside, South Australia",Woodside,South Australia,"https://en.wikipedia.org/wiki/Woodside,_South_Australia",34°57′11″S,138°52′27″E,-34.95305555555556,138.87416666666667,1850,1850.0,1890
Cessnock,"Cessnock, New South Wales",Cessnock,New South Wales,"https://en.wikipedia.org/wiki/Cessnock,_New_South_Wales",32°50′3″S,151°21′19.8″E,-32.83416666666667,151.3555,1850,1850.0,23211
Deniliquin,Deniliquin,Deniliquin,New South Wales,https://en.wikipedia.org/wiki/Deniliquin,35°31′47″S,144°57′25″E,-35.52972222222222,144.95694444444445,1850,1850.0,6431
Geraldton,Geraldton,Geraldton,Western Australia,https://en.wikipedia.org/wiki/Geraldton,28°46′28″S,114°36′32″E,-28.774444444444445,114.60888888888888,1850,1850.0,38595
Meadows,"Meadows, South Australia",Meadows,South Australia,"https://en.wikipedia.org/wiki/Meadows,_South_Australia",35°11′0″S,138°45′0″E,-35.18333333333333,138.75,1850,1850.0,1126
Warwick,"Warwick, Queensland",Warwick,Queensland,"https://en.wikipedia.org/wiki/Warwick,_Queensland",28°12′55″S,152°02′07″E,-28.21527777777778,152.03527777777776,1850,1850.0,12294
Tamworth,"Tamworth, New South Wales",Tamworth,New South Wales,"https://en.wikipedia.org/wiki/Tamworth,_New_South_Wales",31°05′S,150°55′E,-31.083333333333332,150.91666666666666,1818,1850.0,43874
