"Burnie, Tasmania",Burnie,Tasmania,"https://en.wikipedia.org/wiki/Burnie,_Tasmania",41°03′49″S,145°52′31″E,-41.06361111111111,145.8752777777778,,1827
"Tarago, New South Wales",Tarago,New South Wales,"https://en.wikipedia.org/wiki/Tarago,_New_South_Wales",35°05′0″S,149°39′0″E,-35.083333333333336,149.65,1827,1827
Fremantle,Fremantle,Western Australia,https://en.wikipedia.org/wiki/Fremantle,32°03′25″S,115°44′38″E,-32.05694444444444,115.74388888888889,1829,1829
"Perth, Western Australia",Perth,Western Australia,"https://en.wikipedia.org/wiki/Perth,_Western_Australia",31°57′8″S,115°51′32″E,-31.952222222222222,115.85888888888888,1829,1829
"Guildford, Western Australia",Guildford,Western Australia,"https://en.wikipedia.org/wiki/Guildford,_Western_Australia",31°54′00″S,115°58′23″E,-31.9,115.97305555555556,1829,1829
"Augusta, Western Australia",Augusta,Western Australia,"https://en.wikipedia.org/wiki/Augusta,_Western_Australia",34°18′43″S,115°09′32″E,-34.31194444444444,115.1588888888889,1830,1830
"Berrima, New South Wales",Berrima,New South Wales,"https://en.wikipedia.org/wiki/Berrima,_New_South_Wales",34°29′S,150°21′E,-34.483333333333334,150.35,1830,1830
"Port Arthur, Tasmania",Port Arthur,Tasmania,"https://en.wikipedia.org/wiki/Port_Arthur,_Tasmania",43°09′0″S,147°51′0″E,-43.15,147.85,1830,1830
Mandurah,Mandurah,Western Australia,https://en.wikipedia.org/wiki/Mandurah,32°31′44″S,115°43′23″E,-32.528888888888886,115.72305555555556,1831,1831
"Taree, New South Wales",Taree,New South Wales,"https://en.wikipedia.org/wiki/Taree,_New_South_Wales",31°54′0″S,152°27′0″E,-31.9,152.45,1831,1831
Busselton,Busselton,Western Australia,https://en.wikipedia.org/wiki/Busselton,33°38′52″S,115°20′45″E,-33.647777777777776,115.34583333333333,1832,1832
"Northam, Western Australia",Northam,Western Australia,"https://en.wikipedia.org/wiki/Northam,_Western_Australia",31°39′11″S,116°39′58″E,-31.653055555555554,116.66611111111112,1833,1833
"Goulburn, New South Wales",Goulburn,New South Wales,"https://en.wikipedia.org/wiki/Goulburn,_New_South_Wales",34°45′17″S,149°37′7″E,-34.75472222222222,149.6186111111111,1833,1833
"Muswellbrook, New South Wales",Muswellbrook,New South Wales,"https://en.wikipedia.org/wiki/Muswellbrook,_New_South_Wales",32°16′S,150°54′E,-32.266666666666666,150.9,1833,1833
"Portland, Victoria",Portland,Victoria,"https://en.wikipedia.org/wiki/Portland,_Victoria",38°20′0″S,141°36′0″E,-38.333333333333336,141.6,1834,1834
Wollongong,Wollongong,New South Wales,https://en.wikipedia.org/wiki/Wollongong,34°25′59″S,150°52′59″E,-34.433055555555555,150.88305555555556,,1834
"Pinjarra, Western Australia",Pinjarra,Western Australia,"https://en.wikipedia.org/wiki/Pinjarra,_Western_Australia",32°37′48″S,115°52′16″E,-32.63,115.8711111111111,,1834
"York, Western Australia",York,Western Australia,"https://en.wikipedia.org/wiki/York,_Western_Australia",31°53′18″S,116°46′07″E,-31.888333333333332,116.76861111111111,1835,1835
"Melbourne, Victoria",Melbourne,Victoria,"https://en.wikipedia.org/wiki/Melbourne,_Victoria",37°48′49″S,144°57′47″E,-37.81361111111111,144.96305555555554,30 August 1835,1835
Adelaide,Adelaide,South Australia,https://en.wikipedia.org/wiki/Adelaide,34°55′44″S,138°36′4″E,-34.928888888888885,138.6011111111111,28 December 1836,1836
"Bunbury, Western Australia",Bunbury,Western Australia,"https://en.wikipedia.org/wiki/Bunbury,_Western_Australia",33°20′S,115°38′E,-33.333333333333336,115.63333333333334,1836,1836
"Gawler, South Australia",Gawler,South Australia,"https://en.wikipedia.org/wiki/Gawler,_South_Australia",34°35′53″S,138°44′42″E,-34.59805555555556,138.74499999999998,1836,1836
"Holbrook, New South Wales",Holbrook,New South Wales,"https://en.wikipedia.org/wiki/Holbrook,_New_South_Wales",35°42′0″S,147°19′0″E,-35.7,147.31666666666666,1836,1836
"Kempsey, New South Wales",Kempsey,New South Wales,"https://en.wikipedia.org/wiki/Kempsey,_New_South_Wales",31°5′S,152°50′E,-31.083333333333332,152.83333333333334,1836,1836
"Kingscote, South Australia",Kingscote,South Australia,"https://en.wikipedia.org/wiki/Kingscote,_South_Australia",35°39′11″S,137°38′03″E,-35.653055555555554,137.63416666666666,1836,1836
"Littlehampton, South Australia",Littlehampton,South Australia,"https://en.wikipedia.org/wiki/Littlehampton,_South_Australia",35°03′0″S,138°51′0″E,-35.05,138.85,1836,1836
"Sunbury, Victoria",Sunbury,Victoria,"https://en.wikipedia.org/wiki/Sunbury,_Victoria",37°34′52″S,144°42′50″E,-37.58111111111111,144.71388888888887,1836,1836
"Wauchope, New South Wales",Wauchope,New South Wales,"https://en.wikipedia.org/wiki/Wauchope,_New_South_Wales",31°27′0″S,152°44′0″E,-31.45,152.73333333333332,1836,1836
"Bungendore, New South Wales",Bungendore,New South Wales,"https://en.wikipedia.org/wiki/Bungendore,_New_South_Wales",35°15′0″S,149°27′0″E,-35.25,149.45,1837,1837
"Colo Vale, New South Wales",Colo Vale,New South Wales,"https://en.wikipedia.org/wiki/Colo_Vale,_New_South_Wales",34°24′S,150°29′E,-34.4,150.48333333333332,1837,1837
"Dandenong, Victoria",Dandenong,Victoria,"https://en.wikipedia.org/wiki/Dandenong,_Victoria",37°58′52″S,145°12′54″E,-37.98111111111111,145.21499999999997,1837,1837
"Southport, Tasmania",Southport,Tasmania,"https://en.wikipedia.org/wiki/Southport,_Tasmania",43°25′50″S,146°58′30″E,-43.43055555555555,146.975,1837,1837
"Yass, New South Wales",Yass,New South Wales,"https://en.wikipedia.org/wiki/Yass,_New_South_Wales",34°49′0″S,148°54′0″E,-34.81666666666667,148.9,1837,1837
Ballarat,Ballarat,Victoria,https://en.wikipedia.org/wiki/Ballarat,37°33′0″S,143°51′0″E,-37.55,143.85,1838,1838
Geelong,Geelong,Victoria,https://en.wikipedia.org/wiki/Geelong,38°09′0″S,144°21′0″E,-38.15,144.35,1838,1838
Gundagai,Gundagai,New South Wales,https://en.wikipedia.org/wiki/Gundagai,35°03′57″S,148°06′28″E,-35.06583333333333,148.10777777777778,1838,1838
Queanbeyan,Queanbeyan,New South Wales,https://en.wikipedia.org/wiki/Queanbeyan,35°21′12″S,149°14′03″E,-35.35333333333333,149.23416666666665,1838,1838
"Albury, New South Wales",Albury,New South Wales,"https://en.wikipedia.org/wiki/Albury,_New_South_Wales",36°04′50″S,146°54′57″E,-36.080555555555556,146.91583333333335,1839,1839
"Braidwood, New South Wales",Braidwood,New South Wales,"https://en.wikipedia.org/wiki/Braidwood,_New_South_Wales",35°26′0″S,149°48′0″E,-35.43333333333333,149.8,,1839
Echunga,Echunga,South Australia,https://en.wikipedia.org/wiki/Echunga,35°06′0″S,138°47′0″E,-35.1,138.78333333333333,1839,1839
"Gumeracha, South Australia",Gumeracha,South Australia,"https://en.wikipedia.org/wiki/Gumeracha,_South_Australia",34°49′37″S,138°53′00″E,-34.82694444444445,138.88333333333333,1839,1839
"Hahndorf, South Australia",Hahndorf,South Australia,"https://en.wikipedia.org/wiki/Hahndorf,_South_Australia",35°01′49″S,138°48′28″E,-35.030277777777776,138.8077777777778,1839,1839
"Mount Barker, South Australia",Mount Barker,South Australia,"https://en.wikipedia.org/wiki/Mount_Barker,_South_Australia",35°04′S,138°51′E,-35.06666666666667,138.85,1839,1839
Port Lincoln,Port Lincoln,South Australia,https://en.wikipedia.org/wiki/Port_Lincoln,34°43′56″S,135°51′31″E,-34.73222222222223,135.85861111111112,1839,1839
"Seymour, Victoria",Seymour,Victoria,"https://en.wikipedia.org/wiki/Seymour,_Victoria",37°1′48″S,145°7′48″E,-37.03,145.13,1839,1839
"Thebarton, South Australia",Thebarton,South Australia,"https://en.wikipedia.org/wiki/Thebarton,_South_Australia",34°54′S,138°34′E,-34.9,138.56666666666666,1839,1839
Benalla,Benalla,Victoria,https://en.wikipedia.org/wiki/Benalla,36°33′07″S,145°58′54″E,-36.551944444444445,145.98166666666665,1840s,1840
"Dalby, Queensland",Dalby,Queensland,"https://en.wikipedia.org/wiki/Dalby,_Queensland",27°11′S,151°16′E,-27.183333333333334,151.26666666666668,,1840
Traralgon,Traralgon,Victoria,https://en.wikipedia.org/wiki/Traralgon,38°11′45″S,146°32′25″E,-38.19583333333333,146.5402777777778,1840s,1840
Toowoomba,Toowoomba,Queensland,https://en.wikipedia.org/wiki/Toowoomba,27°34′S,151°57′E,-27.566666666666666,151.95,1849,1840
"Ulladulla, New South Wales",Ulladulla,New South Wales,"https://en.wikipedia.org/wiki/Ulladulla,_New_South_Wales",35°20′55″S,150°28′4″E,-35.34861111111111,150.46777777777777,,1840
Wee Waa,Wee Waa,New South Wales,https://en.wikipedia.org/wiki/Wee_Waa,30°12′S,149°26′E,-30.2,149.43333333333334,,1840
"Macclesfield, South Australia",Macclesfield,South Australia,"https://en.wikipedia.org/wiki/Macclesfield,_South_Australia",35°10′0″S,138°50′0″E,-35.166666666666664,138.83333333333334,1840,1840
"Oakbank, South Australia",Oakbank,South Australia,"https://en.wikipedia.org/wiki/Oakbank,_South_Australia",34°59′0″S,138°51′0″E,-34.983333333333334,138.85,1840,1840
"Ballina, New South Wales",Ballina,New South Wales,"https://en.wikipedia.org/wiki/Ballina,_New_South_Wales",28°50′0″S,153°32′0″E,-28.833333333333332,153.53333333333333,1840s,1842
Caboolture,Caboolture,Queensland,https://en.wikipedia.org/wiki/Caboolture,27°04′S,152°58′E,-27.066666666666666,152.96666666666667,1842,1842
"Horsham, Victoria",Horsham,Victoria,"https://en.wikipedia.org/wiki/Horsham,_Victoria",36°43′S,142°12′E,-36.71666666666667,142.2,,1842
"Kapunda, South Australia",Kapunda,South Australia,"https://en.wikipedia.org/wiki/Kapunda,_South_Australia",34°20′20″S,138°55′00″E,-34.33888888888889,138.91666666666666,1839,1842
Lobethal,Lobethal,South Australia,https://en.wikipedia.org/wiki/Lobethal,34°54′0″S,138°52′0″E,-34.9,138.86666666666667,1842,1842
"Boydtown, New South Wales",Boydtown,New South Wales,"https://en.wikipedia.org/wiki/Boydtown,_New_South_Wales",37°06′S,149°53′E,-37.1,149.88333333333333,,1843
