StateName,Longitude,Latitude
Western Australia,117,-24
New South Wales,143,-30
Northern Territory,130,-16
Tasmania,145.5,-42
South Australia,130,-27
Victoria,142,-36.5
Queensland,140,-21
Australian Capital Territory,150.5,-35.7
Jervis Bay Territory,151,-35
