Mapping,StateName,Longitude,Latitude
Legislation,Western Australia,116,-22.5
Legislation,New South Wales,141.5,-29.5
Legislation,Van Diemen's Land,145.5,-41.4
Colonisation,Western Australia,121,-25
Colonisation,New South Wales,143,-31.8
Colonisation,Van Diemen's Land,145.5,-42
Colonisation,New South Wales,167,-39
